word,number_of_occurences
červenať,8
stvora,8
chudák,8
neriecť,8
mrav,8
neobyčajný,8
delo,8
slov,8
modliť,8
zahynúť,8
boj,8
andrija,8
súženie,8
hynúť,8
vlasi,8
slabý,8
lesknúť,8
inakší,8
šum,8
rozhodne,8
premôcť,8
vysloviť,8
verejný,8
skrsnúť,8
paškovi,8
u_on,8
kancelária,8
hovor,8
turecký,8
nemocný,8
vzrušený,8
predstavenie,8
lole,8
strániť,7
nádych,7
štyri,7
podlaha,7
doska,7
bielizeň,7
mestečko,7
okenica,7
šedivý,7
akiste,7
vynikajúci,7
názov,7
aj,7
koruna,7
zunovať,7
tôniť,7
najväčšmi,7
priťahovať,7
zhonobil,7
ker,7
driečny,7
nestratiť,7
člen,7
dozerať,7
rusko,7
nadobudnúť,7
malé,7
mucha,7
oslovenie,7
popraviť,7
drobné,7
nechže,7
poťahovať,7
tajiť,7
úprimnosť,7
vyhýbať,7
oddať,7
okolie,7
konár,7
poludnie,7
zamĺknuť,7
príroda,7
driemota,7
premerať,7
lono,7
tylo,7
nebiť,7
tiahly,7
usúdiť,7
desať,7
pokrútiť,7
jesť,7
zanechať,7
slobodný,7
závisieť,7
čí,7
živé,7
prenikavý,7
klopiť,7
odhodlane,7
snovať,7
ivanovi,7
ľahnúť,7
pokojne,7
nehýbať,7
stiahnuť,7
odpočinok,7
horko,7
nemyslieť,7
láskave,7
poliať,7
zľaknúť,7
svätý,7
minúť,7
zabudnutie,7
prichádzať,7
muzika,7
veľa,7
duť,7
dora,7
rukáv,7
starčevića,7
vyskočiť,7
zasmiať,7
zodpovedať,7
vyčítať,7
ražeň,7
dolčinách,7
milo,7
úplný,7
podchvíľou,7
tanier,7
hladný,7
významný,7
príležitosť,7
márnosť,7
nepotrebovať,7
robotník,7
úvaha,7
hniezdo,7
zväzok,7
dráha,7
rozmyslieť,7
podotknúť,7
sršať,7
štítiť,7
pokora,7
teplo,7
výnimka,7
pozdravovať,7
vysmievať,7
ostávať,7
vykračovať,7
strapec,7
nápad,7
chôdza,7
zásluha,7
vlastnosť,7
snaha,7
samár,7
kôň,7
blízky,7
žobrák,7
chudoba,7
zlata,7
obletovať,7
kamsi,7
šálka,7
zatvoriť,7
vetrík,7
čierna,7
sebavedomie,7
prichodiť,7
ľahostajný,7
tesný,7
vyletieť,7
neodpovedať,7
premáhať,7
oviať,7
stály,7
neznať,7
znieť,7
púť,7
tlmený,7
vymknúť,7
naporúdzi,7
chlad,7
večerný,7
vnímavo,7
úder,7
vzdialiť,7
oproti,7
keka,7
južný,7
obliecť,7
prichytiť,7
prestrašiť,7
oduševnenia,7
narodiť,7
viezť,7
zachytiť,7
ponad,7
chladno,7
jama,7
bahno,7
námaha,7
pop,7
ručať,7
predsudok,7
vyliať,7
zúfanie,7
zažiť,7
zamyslenosť,7
okolnosť,7
obrat,7
zármutok,7
rozširovať,7
natešený,7
rozhodovať,7
piecť,7
morský,7
spánok,7
škandál,7
hriať,7
prv,7
spotený,7
kapitál,7
prostriedok,7
ruža,7
pokývať,7
rád,7
verejne,7
čestný,7
divoký,7
prúd,7
karta,7
chmára,7
podľa,7
pohodlný,7
tamdolu,7
svitanie,7
mäso,7
prospieť,7
rozčúlenia,7
nakloniť,7
zvučať,7
priehrada,7
týkať,7
kľud,7
ostarieť,7
búriť,7
naďalej,7
zrno,7
minulosť,7
pre_on,7
snúbenica,7
bezstarostne,7
slniečko,7
spočinúť,7
šíriť,7
potupa,7
dožiť,7
určitý,7
nestať,7
prežiť,7
nezísť,7
scéna,7
lavička,7
kaša,7
poklona,7
prihodiť,7
spolok,7
zvedieť,7
svedomie,7
smrteľný,7
popol,7
testament,7
preukázať,7
franić,6
ryba,6
drevený,6
odrásť,6
ženiť,6
naložiť,6
napospol,6
nepiť,6
blahoslavený,6
stráviť,6
dubčića,6
